simulation_id,attack_id,cost
762,2,91869862.30474962
765,1,80393438.82705018
766,1,110641131.35003273
766,2,104143891.02345149
769,1,111573513.48921964
770,1,85722462.12464398
770,2,102435697.18785769
772,1,97873576.90968055
772,2,83152981.29670012
775,1,79418292.03443971
775,2,89955831.92484775
777,1,101861423.76308379
777,2,106699707.37970231
779,1,112971684.04696982
780,1,100086389.71860836
780,2,102461021.85584359
781,1,89791106.72232546
781,2,98043237.83942911
782,1,92952893.48319288
782,2,109850917.90846959
784,1,93545369.03518881
786,1,81866588.12878649
788,1,110693525.30453153
793,1,107320826.38063028
793,2,99075446.86946887
795,1,88125540.1022274
797,1,108326181.9503078
799,1,108635396.41153103
807,1,109759187.02571172
809,1,90219882.97455303
816,1,107889239.27852386
816,2,108843240.41285543
817,1,90720904.26292254
818,1,97859500.26386297
820,1,87496463.63068289
822,1,96477889.67664728
825,1,89402696.05134287
826,1,100718757.60794361
828,1,95177943.11895287
828,2,94438668.4495082
829,1,110922416.36923325
833,1,94391099.18909463
834,1,107190858.06447804
835,1,94112391.21094885
842,1,107658809.4828498
844,1,92830736.67197724
844,2,85361920.81444395
845,1,97586869.31151393
845,2,90208301.52711509
845,3,92967174.72901233
846,1,90884005.44240078
846,2,116577773.32111089
849,1,113913798.23950559
851,1,96654789.36589782
853,1,114887450.83601908
853,2,118008774.66101679
854,1,93902297.80639121
855,1,106221538.17740841
859,1,83903420.70621423
860,1,103056935.50655414
860,2,94095838.90614066
860,3,105270392.48001401
861,1,107688861.69196087
862,1,102194461.24015677
864,1,105765796.71805543
868,1,111638946.44280884
869,1,106298618.23545799
869,2,97909761.50629488
874,1,108577296.45746125
876,1,89858851.31806242
876,2,102269910.2242417
876,3,90479289.86743014
878,1,86969250.56150562
880,1,100634434.63710028
886,1,101146712.49311158
888,1,112806225.27433656
889,1,90715202.18943542
889,2,97154266.20406786
889,3,103961003.1395057
893,1,98278942.91204499
894,1,136451321.07415968
897,1,101908104.5909042
897,2,114977040.52028973
898,1,90041729.06282379
899,1,102243815.61180308
902,1,90317092.26279022
902,2,102933076.66343397
902,3,95399959.91538134
905,1,117350509.69487405
907,1,103819016.5116618
908,1,106909984.21537946
909,1,96227067.1355161
909,2,108206090.80440323
910,1,95212839.50904481
913,1,101917866.81442486
919,1,108394614.60843803
921,1,89161041.27660155
922,1,103051581.16333452
922,2,106754896.04695123
